REF001	ref001.dstargateway.org
REF002	ref002.dstargateway.org
REF003	ref003.dstargateway.org
REF004	ref004.dstargateway.org
REF005	ref005.dstargateway.org
REF006	ref006.dstargateway.org
REF007	ref007.dstargateway.org
REF008	ref008.dstargateway.org
REF009	ref009.dstargateway.org
REF010	ref010.dstargateway.org
REF011	ref011.dstargateway.org
REF012	ref012.dstargateway.org
REF013	ref013.dstargateway.org
REF014	ref014.dstargateway.org
REF015	ref015.dstargateway.org
REF016	ref016.dstargateway.org
REF017	ref017.dstargateway.org
REF018	ref018.dstargateway.org
REF019	ref019.dstargateway.org
REF020	ref020.dstargateway.org
REF021	ref021.dstargateway.org
REF022	ref022.dstargateway.org
REF023	ref023.dstargateway.org
REF024	ref024.dstargateway.org
REF025	ref025.dstargateway.org
REF026	ref026.dstargateway.org
REF027	ref027.dstargateway.org
REF028	ref028.dstargateway.org
REF029	ref029.dstargateway.org
REF030	ref030.dstargateway.org
REF031	ref031.dstargateway.org
REF032	ref032.dstargateway.org
REF033	ref033.dstargateway.org
REF034	ref034.dstargateway.org
REF035	ref035.dstargateway.org
REF036	ref036.dstargateway.org
REF037	ref037.dstargateway.org
REF038	ref038.dstargateway.org
REF039	ref039.dstargateway.org
REF040	ref040.dstargateway.org
REF041	ref041.dstargateway.org
REF042	ref042.dstargateway.org
REF043	ref043.dstargateway.org
REF044	ref044.dstargateway.org
REF045	ref045.dstargateway.org
REF046	ref046.dstargateway.org
REF047	ref047.dstargateway.org
REF048	ref048.dstargateway.org
REF049	ref049.dstargateway.org
REF050	ref050.dstargateway.org
REF051	ref051.dstargateway.org
REF052	ref052.dstargateway.org
REF053	ref053.dstargateway.org
REF054	ref054.dstargateway.org
REF055	ref055.dstargateway.org
REF056	ref056.dstargateway.org
REF057	ref057.dstargateway.org
REF058	ref058.dstargateway.org
REF059	ref059.dstargateway.org
REF060	ref060.dstargateway.org
REF061	ref061.dstargateway.org
REF062	ref062.dstargateway.org
REF063	ref063.dstargateway.org
REF064	ref064.dstargateway.org
REF065	ref065.dstargateway.org
REF066	ref066.dstargateway.org
REF067	ref067.dstargateway.org
REF068	ref068.dstargateway.org
REF069	ref069.dstargateway.org
REF070	ref070.dstargateway.org
REF071	ref071.dstargateway.org
REF072	ref072.dstargateway.org
REF073	ref073.dstargateway.org
REF074	ref074.dstargateway.org
REF075	ref075.dstargateway.org
REF076	ref076.dstargateway.org
REF077	ref077.dstargateway.org
REF078	ref078.dstargateway.org
REF079	ref079.dstargateway.org
REF080	ref080.dstargateway.org
REF212	xlx212.dstar.club
REF230	ref.dstar.cz
REF270	ref270.epf.lu	
REF300	300.xreflector.org
REF313	xlx313.xrefl.net
REF357	xlx357.w6kd.com
REF810	810.xreflector.org	
REF850	xrf850.xrfmaster.net
REF000	206.208.56.92	
REF081	121.84.13.151	
REF082	108.21.232.21	
REF083	108.21.232.22	
REF085	27.92.11.123	
REF086	220.133.89.28	
REF087	44.137.36.209	
REF088	194.109.192.235	
REF089	194.109.192.236	
REF090	91.92.136.252	
REF093	98.29.99.252	
REF095	58.1.93.223	
REF098	111.168.208.169	
REF099	212.237.59.103	
REF100	96.94.7.196	
REF101	104.233.105.86	
REF102	206.208.56.13	
REF103	64.137.248.42	
REF104	206.208.56.93	
REF111	124.100.118.252	
REF112	80.211.236.189	
REF114	91.121.136.94	
REF115	217.182.128.3	
REF116	31.185.101.211	
REF118	5.249.148.252	
REF119	125.129.207.86	
REF121	174.37.249.156	
REF124	211.14.169.234	
REF125	213.181.208.52	
REF127	190.112.228.107	
REF128	153.248.195.123	
REF145	178.59.23.138	
REF146	87.228.220.240	
REF147	46.41.1.127	
REF150	212.237.3.87	
REF170	210.178.113.173	
REF171	121.162.91.45	
REF185	118.152.21.76	
REF204	185.85.18.162	
REF206	193.190.240.227	
REF208	151.80.155.39	
REF210	45.62.210.243	
REF214	185.47.129.230	
REF216	74.214.25.135	
REF222	93.189.136.50	
REF224	203.137.99.97	
REF227	86.122.173.9	
REF228	212.237.33.114	
REF229	194.191.4.54	
REF232	89.185.97.35	
REF241	151.80.158.227	
REF242	73.14.84.43	
REF246	172.93.48.159	
REF261	44.144.0.23	
REF262	44.144.0.24	
REF264	52.2.131.118	
REF265	51.255.43.60	
REF295	45.62.238.78	
REF298	118.111.48.154	
REF299	125.236.227.43	
REF302	144.217.241.23	
REF307	104.36.40.243	
REF310	64.137.165.141	
REF311	78.47.206.12	
REF317	44.48.8.15	
REF321	31.207.110.231	
REF333	194.116.29.73	
REF334	199.119.98.174	
