REF001	ref001.dstargateway.org
REF336	23.226.233.133	
REF339	198.98.53.247	
REF365	59.139.141.204	
REF370	188.213.168.24	
REF373	101.143.24.88	
REF382	211.131.21.96	
REF389	106.71.106.79	
REF390	31.14.140.230	
REF398	45.62.243.153	
REF404	91.229.143.187	
REF412	42.151.97.55	
REF433	217.160.22.17	
REF440	180.27.195.251	
REF441	203.137.99.110	
REF444	188.68.37.51	
REF450	64.137.161.11	
REF486	51.255.172.249	
REF499	59.157.4.151	
REF500	172.104.32.192	
REF502	74.208.88.137	
REF508	185.188.4.15	
REF515	180.45.217.104	
REF518	176.9.1.168	
REF519	24.141.165.145	
REF520	202.6.18.14	
REF538	133.137.49.171	
REF550	151.80.141.175	
REF554	52.35.183.178	
REF555	64.137.186.11	
REF569	58.70.25.88	
REF570	104.128.230.153	
REF573	216.189.148.204	
REF595	218.226.193.157	
REF600	13.69.14.204	
REF601	51.141.52.193	
REF602	212.56.100.200	
REF603	24.233.107.8	
REF626	202.137.244.157	
REF651	198.96.90.144	
REF666	54.144.216.63	
REF689	97.107.128.47	
REF699	82.102.5.239	
REF700	78.47.222.93	
REF706	93.186.255.126	
REF707	90.145.156.196	
REF708	202.218.37.62	
REF709	212.237.34.32	
REF711	212.237.18.27	
REF714	85.214.119.76	
REF724	75.99.228.35	
REF737	195.130.75.246	
REF746	178.254.34.44	
REF747	93.209.40.64	
REF748	64.137.197.36	
REF750	203.86.206.49	
REF755	193.248.45.246	
REF766	201.62.48.61	
REF773	94.177.175.230	
REF777	45.62.251.163	
REF781	218.229.61.32	
REF787	93.201.110.136	
REF789	75.144.65.122	
REF800	45.62.247.26	
REF801	77.117.216.113	
REF803	178.113.142.86	
REF807	118.8.17.123	
REF812	126.25.168.252	
REF813	97.76.81.165	
REF870	103.3.234.95	
REF880	176.10.105.211	
REF886	118.163.103.178	
REF887	118.163.103.177	
REF888	31.14.135.7	
REF897	212.237.2.183	
REF900	94.177.237.192	
REF906	212.237.11.53	
REF908	92.222.23.124	
REF909	216.86.147.198	
REF910	94.177.207.26	
REF911	5.196.73.89	
REF929	158.69.166.132	
REF930	94.177.160.5	
REF931	173.50.88.34	
REF933	37.59.119.115	
REF940	202.218.37.121	
REF950	158.64.26.134	
REF964	52.173.142.244	
REF967	95.158.165.32	
REF972	46.121.158.50	
REF974	94.177.217.52	
REF975	176.31.161.9	
REF976	212.237.36.71	
REF986	81.89.102.160	
REF987	185.32.183.148	
REF990	35.164.237.63	
REF995	142.116.255.245	
REF997	94.177.187.40	
REF998	44.140.236.20	
REF989  xrf989.bbhill.net
