XRF515	shounandstar.dip.jp
XRF518	xrf518.n18.de
XRF519	xrf519.ve3zin.com
XRF520	dstar.thdar.com
XRF538	xrf538.dip.jp
XRF550	550.xreflector.es
XRF554	52.35.183.178	
XRF555	54.191.67.121
XRF556	xrf556.w6kd.com
XRF559	98.239.113.175	
XRF569	xlxreflector.jpn.ph
XRF570	104.128.230.153
XRF573	216.189.148.204
XRF580	67.20.31.79	
XRF595	hamradio.dip.jp
XRF600	xrf600.gb7de.co.uk
XRF601	51.141.52.193	
XRF602	212.56.100.200	
XRF603	xlx.cnharc.org
XRF626	202.137.244.157
XRF651	66.240.165.26
XRF666	vpngrf.webandcloud.net	
XRF689	97.107.128.47	
XRF699	xlx.tekniksnack.se
XRF700	xrf700.d-star.se
XRF706	xlx706.iz0rin.it
XRF707	irc-3.openquad.net
XRF708	xrf708.dip.jp
XRF709	212.237.34.32	
XRF711	212.237.18.27
XRF712	xrf712.ddo.jp
XRF714	xrf714.ea3hkb.com
XRF715	xlx715.ea3hkb.net
XRF716	xlx716.duckdns.org
XRF720	23.237.16.149	
XRF724	191.232.36.180
XRF727	108.33.72.83	
XRF737	195.130.75.246	
XRF740	imagewell.duckdns.org
XRF746	178.254.34.44	
XRF747	xrf747.de
XRF748	104.167.109.27	
XRF750	104.167.106.247
XRF755	xlx.radioamateur.tk
XRF757	xrf757.openquad.net
XRF766	xlx.amrase.org.br
XRF767	xrf767.de
XRF773	xrf773.iz0rin.it
XRF777	112.218.40.91	
XRF780	96.53.97.22	
XRF781	xrf781.dip.jp
XRF787	xrf787.de
XRF789	xrf789.dstarxlx.com.br
XRF800	45.62.247.26	
XRF801	f4hin.fr
XRF803	178.113.142.86	
XRF807	hajikko.iobb.net
XRF810	45.62.210.243	
XRF812	xrf812.dip.jp
XRF813	97.76.81.165	
XRF828	xlx828.ddnss.de
XRF850	xrf850.xrfmaster.net
XRF851	xrf851.rsdt.de
XRF858	xrf858.ke0lmx.net
XRF860	xrf.njpaasterisk.org
XRF870	103.3.234.95	
XRF880	176.10.105.211
XRF886	xrf886.metropit.net
XRF887	118.163.103.177	
XRF888	37.187.0.15
XRF897	92.222.23.124
XRF900	94.177.237.192	
XRF901	xrf901.dyndns.org
XRF902	xrf902.dyndns.org
XRF905	199.212.121.20	
XRF906	xrf906.radioclubveleta.es
XRF908	92.222.23.124	
XRF909	216.86.147.198
XRF910	92.177.212.64
XRF911	217.196.138.39	
XRF920	xrf920.oe7xxr.ampr.at
XRF921	xlx921.oe7xxr.ampr.at
XRF929	xrf929.ddns.net
XRF930	xreflector.ddns.net
XRF931	xref.kw4yb.com
XRF933	37.59.119.115	
XRF935	xlx935.ddns.net	
XRF940	xrf940.xreflector-jp.org	
XRF950	xlx950.epf.lu
XRF960	80.211.226.89
XRF964	52.173.142.244	
XRF967	xlx967.uk.to
XRF972	46.121.158.50
XRF974	xlx974.dynu.net	
XRF975	176.31.161.9	
XRF976	212.237.36.71	
XRF977	977.opendstar.eu	
XRF978	74.104.179.159	
XRF986	81.89.102.160
XRF987	xrf987.metro-uhf.org
XRF988	988.xreflector.es
XRF989	xrf989.bbhill.net
XRF990	35.164.237.63	
XRF995	xlx995.ddns.net
XRF997	xrf997.iw2gob.it
XRF998	xlx.sm7.hamnet.nu
XRF999	xrf999.no-ip.org
XRFWDX	47.149.178.211
